City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ambovombe,-25.1667,46.0833,68.52,88,2,4.05,MG,2022-11-17 01:29:25
1,Mataura,-46.1927,168.8643,58.48,85,100,2.8,NZ,2022-11-17 01:29:25
2,Jamestown,42.097,-79.2353,34.02,70,100,17.0,US,2022-11-17 01:29:26
3,Bethel,41.3712,-73.414,42.76,75,0,5.75,US,2022-11-17 01:25:33
4,Punta Arenas,-53.15,-70.9167,50.11,66,0,6.91,CL,2022-11-17 01:29:26
5,Atuona,-9.8,-139.0333,78.21,76,1,14.12,PF,2022-11-17 01:29:26
6,Hobart,-42.8794,147.3294,60.06,70,75,13.8,AU,2022-11-17 01:29:27
7,Cape Town,-33.9258,18.4232,61.27,71,0,13.8,ZA,2022-11-17 01:24:54
8,Bluff,-46.6,168.3333,58.8,87,100,12.66,NZ,2022-11-17 01:29:27
9,Bengkulu,-3.8004,102.2655,74.8,91,100,14.83,ID,2022-11-17 01:25:32
10,Kamaishi,39.2667,141.8833,47.84,54,42,5.53,JP,2022-11-17 01:29:28
11,Busselton,-33.65,115.3333,59.9,70,98,19.35,AU,2022-11-17 01:29:23
12,Hambantota,6.1241,81.1185,73.74,100,20,2.3,LK,2022-11-17 01:29:28
13,Hilo,19.7297,-155.09,80.11,86,100,5.75,US,2022-11-17 01:28:52
14,Ormara,25.2088,64.6357,76.41,71,0,5.1,PK,2022-11-17 01:29:29
15,Syamzha,60.0158,41.0614,25.32,89,100,6.24,RU,2022-11-17 01:29:29
16,Taoudenni,22.6783,-3.9836,72.64,17,0,9.35,ML,2022-11-17 01:29:29
17,Butaritari,3.0707,172.7902,81.18,73,20,17.58,KI,2022-11-17 01:29:30
18,Cidreira,-30.1811,-50.2056,66.97,59,0,4.7,BR,2022-11-17 01:29:30
19,Ushuaia,-54.8,-68.3,51.46,54,75,4.61,AR,2022-11-17 01:29:30
20,Cozumel,20.5083,-86.9458,81.07,83,0,4.0,MX,2022-11-17 01:25:31
21,Durazno,-33.4131,-56.5006,68.23,44,6,9.04,UY,2022-11-17 01:29:31
22,Namwala,-15.7504,26.4384,69.67,74,0,2.19,ZM,2022-11-17 01:29:31
23,Mehamn,71.0357,27.8492,40.95,45,47,18.41,NO,2022-11-17 01:29:31
24,Tuktoyaktuk,69.4541,-133.0374,15.8,67,40,12.66,CA,2022-11-17 01:29:32
25,Pisco,-13.7,-76.2167,64.45,82,0,14.97,PE,2022-11-17 01:25:16
26,Coquimbo,-29.9533,-71.3436,58.73,94,0,6.91,CL,2022-11-17 01:29:32
27,Vaini,-21.2,-175.2,80.76,74,20,4.61,TO,2022-11-17 01:29:25
28,Vila Franca Do Campo,37.7167,-25.4333,63.19,89,100,6.31,PT,2022-11-17 01:29:32
29,Saldanha,-33.0117,17.9442,55.45,77,89,15.41,ZA,2022-11-17 01:29:33
30,Victoria,22.2855,114.1577,78.96,81,74,11.01,HK,2022-11-17 01:27:29
31,Qaanaaq,77.484,-69.3632,-4.22,93,100,4.92,GL,2022-11-17 01:29:33
32,Rikitea,-23.1203,-134.9692,73.27,89,100,24.02,PF,2022-11-17 01:29:33
33,East London,-33.0153,27.9116,64.98,79,100,2.19,ZA,2022-11-17 01:29:34
34,Omboue,-1.5746,9.2618,75.22,89,99,8.01,GA,2022-11-17 01:29:34
35,Kununurra,-15.7667,128.7333,82.38,78,43,4.61,AU,2022-11-17 01:29:34
36,Skjervoy,70.0311,20.9714,26.6,44,9,6.42,NO,2022-11-17 01:29:35
37,Tura,25.5198,90.2201,62.58,88,0,3.85,IN,2022-11-17 01:29:35
38,Jardim,-21.4803,-56.1381,67.19,76,0,4.7,BR,2022-11-17 01:25:26
39,Brae,60.3964,-1.353,46.96,88,100,39.95,GB,2022-11-17 01:27:34
40,Neveklov,49.7537,14.5329,42.08,94,22,1.72,CZ,2022-11-17 01:29:36
41,Flinders,-34.5833,150.8552,66.18,54,39,5.01,AU,2022-11-17 01:29:36
42,Pasni,25.2631,63.471,76.66,70,5,8.55,PK,2022-11-17 01:29:36
43,Chatrapur,19.35,84.9833,65.97,68,2,7.2,IN,2022-11-17 01:29:37
44,Nuuk,64.1835,-51.7216,23.61,80,75,11.01,GL,2022-11-17 01:29:37
45,Kamloops,50.6665,-120.3192,29.75,87,100,5.75,CA,2022-11-17 01:29:37
46,Puerto Escondido,15.85,-97.0667,81.43,65,75,3.44,MX,2022-11-17 01:25:32
47,Ilulissat,69.2167,-51.1,15.82,73,100,6.91,GL,2022-11-17 01:29:28
48,Nanakuli,21.3906,-158.1547,84.15,47,40,11.5,US,2022-11-17 01:30:38
49,Nuevo Laredo,27.4763,-99.5164,52.07,50,100,5.75,MX,2022-11-17 01:27:35
50,Cabo San Lucas,22.8909,-109.9124,78.51,67,40,8.05,MX,2022-11-17 01:27:03
51,Kodiak,57.79,-152.4072,44.11,93,100,18.41,US,2022-11-17 01:29:25
52,Arraial Do Cabo,-22.9661,-42.0278,71.91,77,97,13.96,BR,2022-11-17 01:30:39
53,Albany,42.6001,-73.9662,37.56,89,47,8.75,US,2022-11-17 01:29:19
54,Tautira,-17.7333,-149.15,77.94,79,89,8.59,PF,2022-11-17 01:25:39
55,Fortuna,40.5982,-124.1573,51.98,87,0,4.61,US,2022-11-17 01:30:39
56,Saint-Joseph,-21.3667,55.6167,64.78,71,10,4.85,RE,2022-11-17 01:30:19
57,Kisangani,0.5167,25.2,68.67,100,98,0.98,CD,2022-11-17 01:30:40
58,Carnarvon,-24.8667,113.6333,68.4,51,91,15.5,AU,2022-11-17 01:30:40
59,Cockburn Town,21.4612,-71.1419,82.36,74,40,9.22,TC,2022-11-17 01:30:40
60,Bara,10.3744,10.7288,69.22,36,70,5.91,NG,2022-11-17 01:30:41
61,Bredasdorp,-34.5322,20.0403,54.68,74,100,3.2,ZA,2022-11-17 01:30:41
62,Vaitape,-16.5167,-151.75,79.65,72,96,1.45,PF,2022-11-17 01:30:41
63,Alice Springs,-23.7,133.8833,76.55,44,75,16.11,AU,2022-11-17 01:30:42
64,Mount Gambier,-37.8333,140.7667,57.49,61,100,5.75,AU,2022-11-17 01:30:42
65,Santa Isabel Do Rio Negro,-0.4139,-65.0192,74.84,98,99,0.63,BR,2022-11-17 01:30:42
66,Saint-Philippe,-21.3585,55.7679,65.79,75,19,5.68,RE,2022-11-17 01:30:43
67,Sokolo,14.7328,-6.1219,75.97,17,37,8.75,ML,2022-11-17 01:30:43
68,Ostrovnoy,68.0531,39.5131,30.63,88,100,10.13,RU,2022-11-17 01:30:43
69,Biak,-0.9131,122.8766,82.71,74,100,4.85,ID,2022-11-17 01:30:44
70,Mangan,27.5167,88.5333,62.91,54,62,0.89,IN,2022-11-17 01:30:44
71,Surgut,61.25,73.4167,-15.92,75,0,2.24,RU,2022-11-17 01:29:11
72,Abha,18.2164,42.5053,51.62,50,0,0.0,SA,2022-11-17 01:30:44
73,Broome,42.2506,-75.833,36.19,83,100,11.5,US,2022-11-17 01:30:45
74,Moshenskoye,58.5102,34.5911,28.36,96,100,6.44,RU,2022-11-17 01:30:45
75,Upata,8.0086,-62.3989,71.08,95,100,3.51,VE,2022-11-17 01:30:45
76,Loiza,18.4313,-65.8802,81.07,83,40,11.5,PR,2022-11-17 01:30:46
77,Talnakh,69.4865,88.3972,-29.99,99,59,2.13,RU,2022-11-17 01:30:46
