City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Mataura,NZ,58.48,-46.1927,168.8643,Ellie's Villa
4,Punta Arenas,CL,50.11,-53.15,-70.9167,Hotel Hain
6,Hobart,AU,60.06,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
7,Cape Town,ZA,61.27,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
8,Bluff,NZ,58.8,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
10,Kamaishi,JP,47.84,39.2667,141.8833,Hotel Route Inn Kamaishi
11,Busselton,AU,59.9,-33.65,115.3333,Observatory Guest House
19,Ushuaia,AR,51.46,-54.8,-68.3,Albatross Hotel
25,Pisco,PE,64.45,-13.7,-76.2167,Hotel San Isidro Oficial
26,Coquimbo,CL,58.73,-29.9533,-71.3436,Hotel San Juan
28,Vila Franca Do Campo,PT,63.19,37.7167,-25.4333,Pestana Bahia Praia
29,Saldanha,ZA,55.45,-33.0117,17.9442,Blue Bay Lodge
33,East London,ZA,64.98,-33.0153,27.9116,Tu Casa
37,Tura,IN,62.58,25.5198,90.2201,Hotel RIKMAN Continental
39,Brae,GB,46.96,60.3964,-1.353,Busta House Hotel
49,Nuevo Laredo,MX,52.07,27.4763,-99.5164,City Express Nuevo Laredo
55,Fortuna,US,51.98,40.5982,-124.1573,Super 8 by Wyndham Fortuna
56,Saint-Joseph,RE,64.78,-21.3667,55.6167,"""Plantation Bed and Breakfast"
61,Bredasdorp,ZA,54.68,-34.5322,20.0403,Bredasdorp Country Manor
64,Mount Gambier,AU,57.49,-37.8333,140.7667,The Commodore
70,Mangan,IN,62.91,27.5167,88.5333,Hotel Mout View
72,Abha,SA,51.62,18.2164,42.5053,Abha Hotel
79,Semnan,IR,49.84,35.5729,53.3971,Semnan Tourist Hotel
102,Kaitangata,NZ,58.89,-46.2817,169.8464,Kaitangata Motor Camp
103,Russell,US,47.8,32.3502,-85.1999,Macs
104,Lebu,CL,56.01,-37.6167,-73.65,Hostal Las Lilas
105,Hermanus,ZA,51.8,-34.4187,19.2345,Misty Waves Boutique Hotel
107,Masuda,JP,55.67,34.6667,131.85,Masuda Green Hotel Morris
122,Devonport,AU,62.1,-41.1667,146.35,Gateway Hotel by Nightcap Plus
